                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0148,                 1.4344,                 1.3027,                0.66598,                0.58124,                0.56268,                0.40194,                0.90949,                 1.1323,                 1.0717,              0.0006733,              0.0006733,              0.0006733
                     36,                0.99815,                 1.3848,                 1.3077,                 0.6206,                0.85285,                0.83205,                0.55174,                0.82515,                 1.0305,                 0.9646,              0.0006634,              0.0006634,              0.0006634
                     37,                0.92355,                 1.3768,                 1.2734,                0.66969,                0.86359,                0.82848,                0.46281,                0.94616,                 1.0344,                0.97949,              0.0006535,              0.0006535,              0.0006535
                     38,                0.95642,                 1.3396,                 1.2964,                0.57589,                  0.875,                0.83214,                0.46055,                0.92142,                 1.0128,                0.95144,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.0011,                 1.4237,                 1.2976,                0.77953,                0.87197,                0.85813,                0.58067,                0.81303,                0.92387,                0.89585,              0.0006337,              0.0006337,              0.0006337
                     40,                0.94125,                 1.3201,                 1.2787,                0.90486,                0.74045,                 0.7933,                0.43145,                 1.0249,                 1.0544,                 1.1396,              0.0006238,              0.0006238,              0.0006238
                     41,                0.94874,                 1.2897,                 1.2931,                0.85578,                0.71679,                0.87062,                0.54965,                0.81757,                 1.0892,                0.88599,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.0078,                 1.4052,                 1.2696,                0.67323,                0.85734,                0.85813,                0.56757,                0.78501,                0.99118,                0.89296,               0.000604,               0.000604,               0.000604
                     43,                0.98638,                 1.3047,                 1.2943,                0.73702,                      1,                0.87062,                 0.5361,                0.83025,                 1.0406,                0.92184,              0.0005941,              0.0005941,              0.0005941
                     44,                0.98809,                 1.3579,                  1.292,                0.45149,                  0.625,                0.54012,                0.40894,                0.82961,                 0.9996,                0.92172,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.0027,                 1.3208,                 1.3309,                0.64672,                    0.5,                0.56273,                0.43773,                0.86667,                 1.0051,                0.91713,              0.0005743,              0.0005743,              0.0005743
                     46,                0.87208,                 1.3224,                 1.2227,                0.61395,                  0.875,                 0.8749,                 0.4475,                0.82522,                0.89774,                 0.8411,              0.0005644,              0.0005644,              0.0005644
                     47,                0.94818,                 1.2775,                 1.2765,                 0.7068,                0.86792,                0.79069,                0.44055,                0.75415,                0.94555,                0.79077,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.0086,                 1.3442,                 1.2959,                0.57659,                  0.875,                 0.8104,                0.51675,                0.78673,                 1.0934,                0.84988,              0.0005446,              0.0005446,              0.0005446
                     49,                0.99691,                 1.2999,                 1.3088,                0.44497,                0.54167,                0.54008,                0.42185,                0.79378,                0.99575,                0.82219,              0.0005347,              0.0005347,              0.0005347
                     50,                0.90559,                 1.2793,                 1.2505,                0.43106,                0.54167,                0.58937,                0.44271,                0.80665,                 1.0883,                0.86914,              0.0005248,              0.0005248,              0.0005248
                     51,                0.90332,                 1.2476,                 1.2628,                0.84033,                0.85984,                0.87142,                0.42199,                0.86016,                0.89715,                0.93479,              0.0005149,              0.0005149,              0.0005149
                     52,                0.88834,                 1.1957,                 1.2259,                0.60164,                0.91156,                0.87062,                0.51538,                0.85014,                0.83246,                0.94772,               0.000505,               0.000505,               0.000505
