                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0245,                 33.496,                  4.511,                      0,                      0,                      0,                      0,                 5.8687,                 11.762,                  4.164,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 5.8785,                 24.027,                 4.3461,                      0,                      0,                      0,                      0,                 5.8747,                 11.814,                 4.1707,               0.000165,               0.000165,               0.000165
                      3,                  5.423,                 22.473,                 4.1588,                      0,                      0,                      0,                      0,                 5.8855,                 11.684,                 4.1806,             0.00025047,             0.00025047,             0.00025047
                      4,                 5.3616,                 21.422,                 4.0601,                      0,                      0,                      0,                      0,                 5.9021,                 11.578,                 4.1965,             0.00033418,             0.00033418,             0.00033418
                      5,                 4.6219,                 14.725,                 3.7693,                      0,                      0,                      0,                      0,                 5.9284,                 11.187,                 4.2179,             0.00041613,             0.00041613,             0.00041613
                      6,                 4.0062,                 12.341,                 3.5795,                      0,                      0,                      0,                      0,                 5.9588,                 10.481,                 4.2422,             0.00049632,             0.00049632,             0.00049632
                      7,                 3.6666,                 10.857,                 3.2339,                      0,                      0,                      0,                      0,                 5.9822,                  10.42,                 4.2694,             0.00057475,             0.00057475,             0.00057475
                      8,                 3.4426,                 9.0888,                 3.1438,                      0,                      0,                      0,                      0,                 6.0105,                 7.5172,                 4.3081,             0.00065142,             0.00065142,             0.00065142
                      9,                 3.2612,                 8.5277,                 2.9474,                      0,                      0,                      0,                      0,                 6.0442,                  7.069,                 4.3564,             0.00072634,             0.00072634,             0.00072634
                     10,                  3.397,                 8.6555,                 2.6516,                      0,                      0,                      0,                      0,                 6.0592,                 7.1982,                 4.3828,             0.00079949,             0.00079949,             0.00079949
                     11,                 3.1057,                 7.8475,                  2.445,                      0,                      0,                      0,                      0,                 6.0356,                 7.4261,                 4.3637,             0.00087088,             0.00087088,             0.00087088
                     12,                 3.1628,                 7.7308,                 2.3742,                      0,                      0,                      0,                      0,                 5.7858,                 6.8524,                 4.0781,             0.00094051,             0.00094051,             0.00094051
                     13,                 3.0245,                 7.3301,                 2.2329,                      0,                      0,                      0,                      0,                 4.6699,                 7.8012,                 3.4886,             0.00097901,             0.00097901,             0.00097901
                     14,                 2.9364,                  6.105,                 2.3019,                0.00171,                0.22222,                0.22195,                   0.05,                 3.8102,                 6.8313,                 3.0867,             0.00097901,             0.00097901,             0.00097901
                     15,                 2.9807,                 6.2865,                 2.1748,                 0.0015,                0.22222,                0.22192,                0.10748,                 2.9885,                 5.5077,                 2.7966,             0.00096801,             0.00096801,             0.00096801
                     16,                 2.8044,                 6.0547,                 2.2688,                0.00103,                0.11111,                0.11201,                 0.0112,                 4.4832,                 6.3614,                  3.066,             0.00095702,             0.00095702,             0.00095702
                     17,                 2.9793,                 5.9061,                 2.0164,                0.00219,                0.22222,                0.22203,                0.05561,                 3.8652,                 6.8605,                 2.9009,             0.00094602,             0.00094602,             0.00094602
                     18,                 3.0158,                  5.335,                 2.1768,                      1,                0.24631,                0.33167,                0.11078,                 2.8492,                 5.3035,                 2.7076,             0.00093502,             0.00093502,             0.00093502
                     19,                 2.9785,                 5.3256,                 2.2297,                0.00081,                0.11111,                0.00065,                0.00045,                 3.1862,                 6.7394,                 2.8425,             0.00092402,             0.00092402,             0.00092402
                     20,                 2.7085,                 5.1333,                 2.0979,                0.00295,                0.38889,                 0.0118,                0.00693,                 3.1798,                 5.6915,                 2.6171,             0.00091302,             0.00091302,             0.00091302
                     21,                 2.7217,                  5.286,                 2.0824,                 0.0025,                    0.5,                0.20777,                0.10324,                 2.7198,                  4.342,                 2.4216,             0.00090202,             0.00090202,             0.00090202
