                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7802,                 5.0299,                 2.7196,                0.00111,                   0.25,                 0.0574,                0.01065,                 2.7759,                 5.9547,                 2.3658,                0.00011,                0.00011,                0.00011
                      2,                 2.1467,                 4.5957,                 2.2459,                0.00155,                   0.25,                0.11235,                0.08974,                0.83512,                 4.5179,                 1.0923,             0.00022772,             0.00022772,             0.00022772
                      3,                  1.947,                 4.1544,                 2.0853,                0.00142,                   0.25,                 0.0439,                0.02831,                 1.7352,                 5.0159,                 1.4934,             0.00034307,             0.00034307,             0.00034307
                      4,                 1.8613,                  3.814,                 1.9687,                0.00148,                   0.25,                0.15047,                0.05413,                 1.8083,                 4.7172,                 1.6933,             0.00045604,             0.00045604,             0.00045604
                      5,                 1.7666,                 3.8033,                  1.912,                0.00181,                   0.25,                  0.141,                0.09605,                 1.2779,                 3.7751,                 1.6117,             0.00056664,             0.00056664,             0.00056664
                      6,                 1.7104,                 3.3425,                  1.857,                0.29942,                0.79167,                0.65863,                0.21028,                 1.8238,                  3.906,                 1.8724,             0.00067486,             0.00067486,             0.00067486
                      7,                 1.6877,                 3.4458,                 1.8591,                0.62427,                0.16667,                0.59648,                0.23326,                 1.4129,                 3.3512,                 1.6669,              0.0007807,              0.0007807,              0.0007807
                      8,                 1.5622,                 3.1607,                 1.7701,                0.80114,                0.41667,                0.48352,                0.16329,                 1.9522,                  3.381,                 2.1982,             0.00088417,             0.00088417,             0.00088417
                      9,                 1.5353,                 3.2352,                 1.7597,                0.35996,                0.62936,                0.56102,                0.19236,                 1.4739,                 2.5565,                 1.7214,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.5764,                 3.0118,                 1.7877,                0.71365,                0.54167,                0.64181,                0.16277,                 2.4247,                 2.7611,                 2.8605,              0.0009208,              0.0009208,              0.0009208
                     11,                  1.552,                 2.9823,                  1.821,                0.83135,                0.33333,                0.47755,                0.16974,                 1.6526,                 2.4647,                 2.1948,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5379,                 2.8428,                 1.7412,                0.27129,                0.77266,                0.57782,                 0.2034,                 1.0737,                 2.2856,                 1.4427,               0.000901,               0.000901,               0.000901
                     13,                  1.455,                 2.6054,                  1.679,                0.20686,                0.54167,                0.40726,                 0.2519,                 1.0372,                 2.3069,                 1.5073,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5155,                 2.6626,                 1.7336,                0.76951,                0.45833,                 0.6695,                0.28483,                 1.3056,                 2.4004,                 1.8634,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.4513,                 2.5819,                  1.698,                0.55142,                0.89008,                0.81609,                0.36902,                 1.6984,                 2.1335,                 2.0787,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.3228,                  2.419,                 1.6075,                0.35849,                  0.875,                 0.6648,                0.34457,                 1.1599,                 2.0891,                 1.4105,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.2974,                 2.4365,                 1.6513,                0.40255,                0.57953,                0.62745,                0.25058,                 1.4599,                 1.9324,                 1.8517,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.3343,                 2.3657,                 1.6145,                0.45221,                0.73824,                0.64414,                0.29631,                 1.2077,                 1.8222,                 1.8752,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.4607,                 2.5535,                 1.6623,                0.94774,                0.41667,                0.62109,                0.22274,                 1.5759,                 1.9133,                 2.2135,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.2968,                 2.2597,                 1.5945,                0.48682,                0.72609,                0.71134,                0.23695,                 1.7506,                 2.1479,                 1.9248,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.3905,                  2.309,                 1.5436,                0.35114,                0.66667,                0.62778,                0.27183,                 1.3685,                 1.6656,                 1.4614,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.3352,                 2.3489,                 1.5973,                0.40779,                0.72787,                0.72769,                0.31478,                 1.3971,                 1.8643,                 1.5568,               0.000802,               0.000802,               0.000802
                     23,                 1.3155,                 2.1159,                 1.5965,                0.56547,                0.75789,                0.78165,                 0.4202,                 1.6626,                 1.8353,                 2.1483,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.2659,                 2.0918,                 1.5274,                0.76302,                0.88822,                0.89421,                0.45484,                 1.5328,                 1.6699,                 1.8708,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.2255,                  2.087,                 1.5585,                0.59916,                0.84259,                0.82083,                0.41126,                 1.2709,                 1.6744,                 1.4971,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.2757,                 2.1364,                 1.5613,                0.71013,                0.79625,                0.79705,                0.36818,                  1.145,                 1.5285,                 1.4349,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.2123,                 1.9522,                 1.4887,                0.90945,                0.66046,                0.81917,                0.37882,                 1.3762,                 1.6407,                 1.6365,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.3205,                 2.0439,                 1.6252,                 0.9062,                0.71037,                0.82583,                0.34601,                 1.2223,                 1.4751,                 1.5143,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.2163,                 1.8975,                 1.4864,                0.39878,                  0.625,                0.55304,                 0.3596,                 1.2181,                 1.4613,                 1.3292,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.2622,                 1.9389,                 1.5931,                0.87561,                0.64351,                0.83695,                0.32503,                 1.5674,                 1.5012,                 1.7102,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.2422,                 1.9258,                 1.5158,                0.82693,                0.66468,                0.85097,                0.28183,                 2.1795,                 1.7374,                 2.2576,              0.0007129,              0.0007129,              0.0007129
                     32,                   1.18,                 1.9095,                 1.4417,                0.45872,                0.74222,                0.75163,                0.33353,                 1.3557,                 1.5473,                 1.7446,               0.000703,               0.000703,               0.000703
                     33,                 1.2701,                 1.9579,                 1.5092,                0.70613,                  0.625,                0.84333,                0.37454,                  1.235,                 1.4556,                 1.5837,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.2533,                 1.8922,                 1.5667,                0.88797,                0.65533,                0.82927,                0.36074,                 1.7326,                 1.4484,                 1.8882,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.1826,                 1.8309,                 1.4395,                  0.741,                   0.75,                0.81896,                0.36617,                 1.4384,                 1.3433,                 1.5293,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.1825,                 1.8028,                 1.4471,                0.78935,                0.71046,                 0.7179,                0.38815,                 1.1049,                 1.3071,                 1.2696,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.1417,                 1.7389,                 1.4668,                0.78004,                   0.75,                0.86021,                0.42922,                 1.1369,                 1.3666,                 1.4256,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.1118,                 1.7239,                 1.4443,                0.60159,                    0.5,                0.48847,                0.33326,                 1.2215,                 1.4172,                 1.5788,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.1789,                 1.7757,                 1.4391,                0.59947,                0.93702,                 0.8499,                0.39315,                 1.0875,                 1.4105,                 1.4442,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.1584,                 1.6775,                 1.4487,                0.57476,                0.93845,                0.86021,                0.40118,                 1.0444,                 1.3363,                 1.2685,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.1844,                 1.6808,                 1.5077,                0.49232,                0.93614,                0.86021,                0.38781,                 1.4994,                 1.2354,                 1.6935,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.2059,                 1.7959,                 1.4428,                0.49009,                0.96055,                0.86021,                0.34149,                 1.6328,                 1.2972,                 1.8828,               0.000604,               0.000604,               0.000604
                     43,                 1.1385,                 1.6444,                 1.4156,                0.55486,                0.98959,                0.86021,                0.38514,                 1.5408,                 1.1911,                 1.8601,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.1805,                 1.6933,                 1.4652,                0.60078,                0.96623,                0.86021,                0.35744,                 1.2894,                 1.1237,                 1.5542,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.2197,                 1.6704,                 1.4936,                0.57272,                0.92476,                0.85089,                0.38852,                 1.0811,                 1.1892,                  1.361,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.0881,                 1.6415,                 1.4034,                 0.5573,                0.95039,                 0.8499,                0.41592,                 1.1301,                 1.1449,                  1.495,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.1407,                 1.6011,                 1.4428,                0.59807,                0.93008,                 0.8499,                0.37142,                 1.4238,                  1.215,                 1.9643,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.1697,                 1.7671,                 1.4318,                0.63021,                0.94188,                 0.8499,                0.34547,                 1.5051,                 1.2002,                 2.0073,              0.0005446,              0.0005446,              0.0005446
