                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2707,                 1.2919,                 1.3812,                0.81395,                0.89955,                0.87454,                0.45793,                 1.3311,                0.99254,                 1.3378,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.2941,                 1.2902,                 1.3802,                 0.8037,                0.90476,                0.89127,                0.44438,                 1.4218,                 1.0356,                 1.4364,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.2237,                 1.2354,                 1.3555,                0.76325,                0.91784,                0.88669,                0.48227,                 1.2058,                 1.0003,                 1.2144,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.2664,                 1.2662,                 1.3836,                0.75771,                0.89007,                0.85087,                0.45178,                 1.3784,                 1.0095,                 1.3487,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.2586,                  1.268,                  1.356,                0.75596,                0.83687,                0.85759,                0.41051,                  1.492,                  1.072,                 1.5648,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.2179,                 1.2655,                 1.3465,                0.76863,                0.85897,                0.89691,                0.45684,                 1.3807,                 1.0598,                 1.3618,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.2437,                 1.2593,                 1.3559,                0.76508,                0.88685,                0.87663,                0.45115,                 1.3159,                 1.0121,                 1.3131,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.2403,                 1.2358,                 1.3546,                0.78718,                0.86888,                0.86046,                0.43948,                 1.2646,                 1.0545,                 1.2448,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.2554,                 1.2666,                 1.3517,                0.81522,                0.85808,                0.85129,                0.44301,                 1.3738,                 1.0271,                 1.3511,               0.000604,               0.000604,               0.000604
                     43,                 1.1906,                 1.2117,                  1.316,                0.83733,                0.90393,                0.89579,                0.43724,                 1.4278,                0.99694,                 1.4103,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.2186,                 1.2013,                 1.3336,                0.80265,                0.88893,                0.88592,                0.41962,                 1.4384,                 1.0461,                 1.4092,              0.0005842,              0.0005842,              0.0005842
