                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1639,                 4.6928,                 2.0631,                0.00279,                0.33482,                0.22168,                0.10171,                 1.2201,                  4.247,                 1.0119,             0.00032828,             0.00032828,             0.00032828
                      2,                 1.6216,                 3.2587,                 1.6433,                0.56517,                 0.6187,                0.63107,                0.26566,                 1.6936,                 2.5782,                 1.4482,             0.00065507,             0.00065507,             0.00065507
                      3,                 1.5415,                 2.6353,                 1.5914,                0.46603,                0.68125,                0.64501,                0.34619,                 1.2011,                  4.514,                 1.0536,             0.00097525,             0.00097525,             0.00097525
                      4,                 1.4937,                 2.2634,                 1.5517,                0.50108,                0.77097,                0.74432,                0.31874,                 1.7979,                 2.2083,                 1.6406,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.4938,                 2.0397,                 1.5269,                 0.6078,                0.57121,                0.68609,                0.28985,                 2.1738,                 2.1209,                  1.739,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.4656,                 1.7981,                 1.5027,                0.63622,                0.67803,                0.67115,                0.29946,                 1.8877,                 1.4681,                 2.0629,              0.0009604,              0.0009604,              0.0009604
                      7,                  1.391,                 1.6394,                  1.464,                0.87864,                0.63065,                0.83603,                0.45864,                 1.2137,                 1.2222,                 1.0209,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.3446,                  1.559,                 1.4445,                0.68304,                0.66148,                 0.7037,                0.32088,                 1.5326,                 1.1272,                 1.2658,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.3819,                 1.5012,                 1.4335,                0.74895,                0.81984,                0.82253,                0.41428,                 1.3877,                 1.0359,                 1.2188,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.2782,                 1.4129,                 1.3935,                0.67263,                0.90498,                0.87262,                0.47214,                 1.2545,                0.99211,                 1.0371,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.3506,                 1.3962,                 1.3913,                0.73315,                0.90291,                0.87782,                0.43336,                 1.1301,                0.88641,                0.96445,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.2743,                 1.3252,                 1.3825,                0.65423,                0.77201,                0.71725,                0.36609,                 1.3325,                0.98137,                 1.0529,               0.000901,               0.000901,               0.000901
                     13,                 1.2779,                 1.3329,                  1.385,                0.79896,                0.81924,                0.88382,                0.45931,                 1.2275,                0.99282,                 1.1574,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.2758,                 1.3263,                 1.3686,                0.78737,                 0.6966,                0.82474,                0.44428,                 1.3773,                 1.4888,                 1.1106,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.2611,                 1.2661,                 1.3529,                 0.7021,                0.84419,                0.84303,                0.45632,                 1.3082,                 0.8659,                 1.0666,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.2198,                 1.2502,                 1.3454,                0.82249,                0.83312,                0.88183,                0.48028,                   1.21,                0.89829,                 1.0121,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.2332,                 1.2211,                 1.3473,                0.79519,                0.83036,                0.89688,                 0.4985,                 1.2078,                 0.9566,                 1.0047,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.2118,                 1.2191,                 1.3066,                0.77395,                0.90739,                0.89544,                0.47739,                 1.1597,                0.81369,                0.95766,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.2074,                 1.1837,                 1.3218,                0.78184,                0.93074,                0.88273,                0.43786,                 1.2786,                0.88647,                 1.0596,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.1931,                 1.1805,                 1.3063,                0.67951,                0.83744,                0.84978,                 0.4673,                 1.1478,                0.96974,                0.93896,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.1951,                 1.2194,                 1.3301,                0.87009,                0.94782,                0.93551,                0.47872,                 1.1045,                0.82964,                0.96247,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.1842,                 1.1883,                 1.2907,                0.80928,                0.90741,                0.88204,                0.46016,                 1.1523,                 0.8255,                 1.0035,               0.000802,               0.000802,               0.000802
                     23,                 1.1443,                 1.1379,                  1.274,                0.88858,                0.73619,                0.84219,                0.46426,                 1.2512,                 1.0571,                 1.0157,              0.0007921,              0.0007921,              0.0007921
                     24,                  1.193,                 1.1814,                 1.3193,                0.91111,                0.76729,                0.93463,                0.47718,                 1.2384,                  1.366,                 1.0525,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.1576,                 1.1831,                 1.2815,                0.81465,                0.89565,                 0.8893,                0.49106,                 1.1459,                0.80645,                0.98616,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.1506,                 1.1386,                  1.276,                0.78652,                0.95952,                0.97426,                0.50714,                 1.1538,                0.95324,                0.98774,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.1337,                 1.1163,                 1.2651,                0.83155,                0.91628,                0.97882,                0.51535,                 1.1634,                0.77399,                 0.9398,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.1637,                 1.1353,                 1.2621,                0.88275,                0.93808,                0.96381,                0.48968,                 1.1521,                0.83979,                0.94162,              0.0007426,              0.0007426,              0.0007426
