                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0498,                 2.5809,                 2.2823,                0.71906,                  0.375,                0.50145,                0.26216,                 1.4636,                 2.6037,                 2.4248,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.9828,                 2.4427,                 2.2416,                0.75189,                  0.375,                0.42216,                0.17294,                 1.8353,                 2.6139,                 2.7049,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.9404,                 2.5069,                  2.256,                0.69975,                  0.375,                0.60338,                0.24106,                  2.169,                 2.9137,                 2.9455,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.9484,                 2.3915,                 2.3264,                0.73562,                  0.375,                0.61183,                0.23679,                 2.1974,                 2.9003,                 2.9312,              0.0006436,              0.0006436,              0.0006436
                     39,                  1.999,                 2.4344,                 2.2243,                0.81469,                  0.375,                0.39559,                0.16923,                 2.2336,                 3.1147,                  2.846,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.8929,                 2.3841,                 2.2315,                0.66242,                    0.5,                0.62615,                0.22905,                 2.2667,                 3.1193,                  2.923,              0.0006238,              0.0006238,              0.0006238
                     41,                  1.866,                 2.3553,                 2.2383,                      1,                0.24982,                0.34588,                0.16107,                 1.9275,                 3.1387,                 2.5591,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.8967,                 2.4088,                 2.1506,                0.50217,                  0.375,                0.30881,                0.13287,                 1.6226,                  2.871,                 2.2576,               0.000604,               0.000604,               0.000604
                     43,                  1.909,                 2.2706,                 2.1706,                 0.7531,                   0.75,                0.76919,                0.20358,                 1.7376,                  2.877,                  2.405,              0.0005941,              0.0005941,              0.0005941
                     44,                  1.957,                  2.271,                 2.1685,                0.83246,                    0.5,                0.56534,                  0.197,                 1.5651,                 2.5704,                 2.2551,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.9512,                 2.2536,                 2.1469,                0.53351,                  0.625,                 0.5156,                0.29235,                 1.4307,                 2.0625,                 2.0519,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.7598,                  2.208,                 2.0492,                0.48489,                0.77844,                0.87062,                0.25972,                 1.6778,                 2.1658,                 2.3143,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.7892,                 2.1018,                 2.0743,                0.50951,                      1,                0.91483,                0.30218,                 1.4998,                 1.6555,                 2.1529,              0.0005545,              0.0005545,              0.0005545
                     48,                  1.828,                 2.2934,                 2.0455,                0.50884,                0.58333,                0.74025,                0.30568,                 1.6022,                 1.8968,                 2.3061,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.7705,                 2.1384,                 2.0798,                0.56209,                  0.625,                0.77731,                0.35699,                 1.6411,                 2.1587,                 2.3059,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.7375,                 2.1005,                 2.0079,                0.50585,                0.41667,                0.74718,                0.33035,                 1.3819,                 2.1378,                 2.1927,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.7472,                 2.1106,                 2.0407,                 0.4327,                  0.875,                0.77778,                0.27992,                 1.6695,                  1.669,                 2.3855,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.6989,                 2.0185,                  1.973,                 0.5056,                0.87097,                0.74745,                0.26521,                  1.558,                 1.6434,                 2.4517,               0.000505,               0.000505,               0.000505
                     53,                 1.6763,                 2.0449,                 1.9604,                0.61099,                      1,                0.91756,                0.35393,                 1.3821,                 1.5415,                 2.0268,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.6801,                 2.0625,                 1.9665,                0.45914,                0.89648,                0.84787,                0.28759,                 1.9609,                 2.0204,                 2.3165,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.5911,                 1.9547,                  1.973,                 0.5934,                      1,                0.91208,                0.36666,                 1.5215,                 1.7415,                 2.1172,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.6616,                 2.0749,                 1.8779,                 0.5723,                      1,                0.91796,                0.46858,                 1.4759,                 1.6014,                 2.1046,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.6505,                  2.008,                 1.9491,                0.50919,                  0.875,                0.71237,                0.35221,                 1.4245,                 1.5102,                 1.9971,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.6196,                 1.9011,                 1.8927,                0.51044,                  0.875,                0.89833,                0.39647,                  1.743,                 1.5104,                 2.1102,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.5927,                 1.9497,                 1.8403,                0.51593,                  0.875,                0.89833,                0.38029,                  1.719,                 1.5709,                 2.0845,              0.0004357,              0.0004357,              0.0004357
                     60,                  1.621,                 1.9619,                 1.8401,                0.42916,                  0.875,                0.69578,                0.31164,                 1.6121,                  1.561,                 2.1223,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.5615,                 1.8413,                 1.8885,                0.46472,                  0.875,                0.75532,                0.37538,                 1.8106,                 1.6622,                 2.2809,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.5839,                 1.8959,                  1.867,                0.48834,                  0.875,                0.87038,                0.44026,                 1.8112,                 1.7084,                 2.1954,               0.000406,               0.000406,               0.000406
                     63,                  1.535,                 1.8733,                 1.8149,                0.44344,                0.95735,                0.88083,                0.40725,                 1.8643,                 1.7105,                 2.2593,              0.0003961,              0.0003961,              0.0003961
                     64,                  1.628,                  1.903,                  1.861,                0.46949,                0.95245,                0.88073,                0.34469,                 1.6105,                 1.4977,                  2.113,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.5293,                 1.8231,                 1.8362,                 0.4872,                0.94866,                0.88478,                0.35504,                 1.5716,                 1.5075,                 2.0492,              0.0003763,              0.0003763,              0.0003763
