                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7319,                  10.66,                 2.4899,                      0,                      0,                      0,                      0,                 3.7167,                 9.8926,                 2.6488,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 3.7984,                  11.07,                 2.4369,                      0,                      0,                      0,                      0,                 2.8698,                 7.8587,                 2.0461,               0.000165,               0.000165,               0.000165
                      3,                 3.1696,                 8.2939,                  1.776,                      0,                      0,                      0,                      0,                  2.597,                 7.3365,                 1.6738,             0.00025047,             0.00025047,             0.00025047
                      4,                 2.8211,                 7.1324,                 1.5586,                0.00251,                0.33333,                0.00688,                0.00116,                 2.3943,                 6.8252,                 1.4856,             0.00033418,             0.00033418,             0.00033418
                      5,                 2.5684,                 6.0311,                 1.5068,                0.00168,                0.22222,                0.00499,                0.00144,                 1.8747,                 6.0594,                 1.2255,             0.00041613,             0.00041613,             0.00041613
                      6,                 2.4656,                 5.8998,                  1.498,                0.00074,                0.11111,                0.00063,                0.00019,                  2.136,                 5.8035,                 1.5099,             0.00049632,             0.00049632,             0.00049632
                      7,                 2.6173,                 5.5708,                 1.5447,                0.00267,                0.33333,                0.33167,                0.13833,                 1.9074,                 5.7108,                   1.34,             0.00057475,             0.00057475,             0.00057475
                      8,                 2.4909,                 5.0394,                  1.511,                0.00207,                0.44444,                 0.0028,                0.00081,                 2.1423,                 8.4817,                 1.5192,             0.00065142,             0.00065142,             0.00065142
                      9,                 2.3088,                 4.7578,                 1.4833,                 0.0058,                0.66667,                0.04004,                 0.0145,                 2.1596,                 7.5935,                 1.5496,             0.00072634,             0.00072634,             0.00072634
                     10,                 2.3681,                 4.5428,                 1.4877,                0.00429,                0.66667,                0.10669,                0.04824,                 1.8799,                 4.5065,                 1.5211,             0.00079949,             0.00079949,             0.00079949
                     11,                 2.2826,                  4.332,                 1.3838,                0.00593,                0.72222,                0.34586,                0.10717,                 2.4449,                 4.9165,                 1.5928,             0.00087088,             0.00087088,             0.00087088
                     12,                 2.3202,                 4.2553,                  1.383,                0.86993,                0.49854,                0.70467,                0.27127,                 2.1489,                 3.9469,                 1.6175,             0.00094051,             0.00094051,             0.00094051
                     13,                 2.3122,                 3.9298,                 1.4537,                0.58138,                0.35175,                0.69625,                0.26018,                 2.2552,                 3.0667,                 1.9093,             0.00097901,             0.00097901,             0.00097901
                     14,                 2.1345,                 3.3917,                 1.4147,                 0.8839,                0.36221,                0.91167,                0.27995,                  2.198,                 2.8837,                 1.6183,             0.00097901,             0.00097901,             0.00097901
                     15,                  2.107,                 3.7319,                 1.3227,                0.50233,                    0.5,                0.49674,                0.23066,                 1.9249,                 2.4015,                 1.7356,             0.00096801,             0.00096801,             0.00096801
                     16,                 2.1572,                 3.6586,                 1.4572,                0.90008,                0.66667,                 0.8284,                0.37565,                 1.7827,                 2.0158,                 1.5459,             0.00095702,             0.00095702,             0.00095702
                     17,                 2.2529,                 3.4373,                 1.3605,                0.85894,                0.78665,                 0.8284,                0.31047,                 2.5756,                 2.0746,                 2.2296,             0.00094602,             0.00094602,             0.00094602
                     18,                 2.1226,                 3.1313,                  1.404,                0.70431,                0.83333,                0.82841,                0.53052,                 2.0051,                 1.7009,                 1.8464,             0.00093502,             0.00093502,             0.00093502
                     19,                 2.0922,                 2.9909,                 1.4379,                0.88211,                 0.6672,                0.82842,                0.45688,                 2.0101,                 1.9668,                 1.6433,             0.00092402,             0.00092402,             0.00092402
                     20,                 2.0748,                 2.9587,                 1.3599,                0.98365,                0.54224,                0.74611,                 0.2291,                 2.2926,                 2.2697,                 1.7433,             0.00091302,             0.00091302,             0.00091302
                     21,                 2.1073,                 3.1348,                 1.3839,                0.95671,                0.94869,                  0.995,                0.37997,                  2.146,                 1.5825,                 1.9005,             0.00090202,             0.00090202,             0.00090202
                     22,                  2.009,                 2.6422,                 1.3406,                0.88204,                0.83333,                0.82849,                0.25614,                 2.0885,                 2.3185,                 1.7415,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.8905,                 2.6479,                 1.3194,                0.84349,                0.83333,                0.82847,                0.36645,                 1.8174,                 1.6211,                 1.5545,             0.00088002,             0.00088002,             0.00088002
