                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2774,                 5.6561,                 4.1752,                0.00075,                0.16667,                0.00698,                0.00138,                 3.9307,                 7.4267,                 4.1433,             0.00032828,             0.00032828,             0.00032828
                      2,                 2.9742,                 4.8848,                 3.5854,                0.00178,                0.36905,                0.12213,                0.03765,                  2.943,                 4.9661,                 3.4953,             0.00065507,             0.00065507,             0.00065507
                      3,                 2.7086,                 4.0805,                 3.0644,                0.12359,                0.51161,                0.11158,                0.04576,                 2.0828,                 9.2732,                 2.5161,             0.00097525,             0.00097525,             0.00097525
                      4,                  2.555,                 3.5541,                 2.8117,                0.56555,                0.26994,                0.37699,                0.16077,                 1.9709,                 4.4805,                 2.4205,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.4933,                 3.2844,                 2.6163,                0.54554,                0.57515,                0.48993,                 0.1875,                 1.7031,                 3.3035,                 2.0057,              0.0009703,              0.0009703,              0.0009703
                      6,                  2.367,                 3.0015,                 2.4794,                0.49253,                0.56012,                0.50518,                0.19831,                 2.0457,                 2.1939,                 2.3141,              0.0009604,              0.0009604,              0.0009604
                      7,                 2.2525,                 2.7652,                 2.3618,                0.56956,                0.63757,                0.55742,                0.19484,                 2.4428,                 2.1486,                 2.8186,              0.0009505,              0.0009505,              0.0009505
                      8,                 2.1995,                 2.5584,                 2.2906,                0.47718,                 0.6342,                0.63883,                0.26981,                 2.0514,                 2.0022,                 2.2763,              0.0009406,              0.0009406,              0.0009406
                      9,                 2.1266,                 2.4694,                 2.1801,                0.67437,                0.49524,                0.60831,                0.22595,                 1.8953,                 2.4095,                 2.1751,              0.0009307,              0.0009307,              0.0009307
                     10,                  2.057,                 2.2944,                 2.1042,                0.47769,                0.67017,                 0.5087,                0.23786,                 1.5532,                 2.0018,                 1.8535,              0.0009208,              0.0009208,              0.0009208
                     11,                 2.0257,                  2.214,                 2.0092,                0.54277,                0.69023,                0.64079,                0.27874,                 1.5652,                 1.9796,                 1.8165,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.8692,                 2.0831,                 1.9258,                0.65491,                0.59426,                 0.6012,                0.24431,                  1.848,                 1.8134,                 2.0314,               0.000901,               0.000901,               0.000901
                     13,                 1.8335,                  2.035,                 1.8895,                0.53215,                0.75789,                0.64398,                0.26821,                 2.0846,                 1.5834,                 2.1223,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.7899,                 1.9579,                 1.8216,                0.50326,                0.81092,                0.66647,                0.30981,                 1.5225,                 1.5849,                 1.6733,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.7236,                 1.9119,                 1.7607,                0.47872,                0.86912,                0.68446,                0.27747,                 1.6933,                 1.4484,                 1.7663,              0.0008713,              0.0008713,              0.0008713
                     16,                  1.709,                 1.8511,                  1.766,                0.58134,                0.78488,                0.75464,                0.35775,                 1.4953,                 1.3637,                 1.6201,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.6646,                 1.7776,                 1.7197,                0.47281,                0.79033,                0.69121,                0.32372,                 1.4546,                 1.4686,                 1.5146,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.6434,                 1.7795,                 1.6596,                0.77102,                0.55048,                0.72254,                0.33658,                 1.4998,                 1.3306,                 1.6846,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.5835,                 1.7531,                 1.6502,                0.73303,                0.74277,                0.75316,                0.34228,                 1.5256,                 1.3623,                 1.5422,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.5702,                 1.6578,                 1.6156,                0.54825,                 0.9131,                0.77778,                0.37083,                 1.3665,                 1.2821,                 1.4599,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.5635,                 1.6519,                 1.6233,                0.82347,                0.61963,                0.69531,                0.31744,                 1.4755,                 1.3162,                 1.5987,              0.0008119,              0.0008119,              0.0008119
